서울ㆍ인천ㆍ경기도 | 서울 
A02 | 2019-02-26 00:00 | 맑음 | -1 | 10 | 높음
A02 | 2019-02-27 12:00 | 구름많음 | -3 | 12 | 보통
A02 | 2019-02-28 00:00 | 맑음 | -1 | 13 | 높음
A02 | 2019-02-28 12:00 | 맑음 | -1 | 13 | 높음
A02 | 2019-03-01 00:00 | 맑음 | -2 | 12 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | -2 | 12 | 보통
A02 | 2019-03-02 00:00 | 구름많음 | 0 | 8 | 낮음
A02 | 2019-03-02 12:00 | 흐리고 비/눈 | 0 | 8 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 1 | 10 | 보통
A01 | 2019-03-04 00:00 | 맑음 | -2 | 11 | 보통
A01 | 2019-03-05 00:00 | 맑음 | -1 | 10 | 보통

강원도영서 | 원주 
A02 | 2019-02-26 00:00 | 맑음 | -2 | 11 | 높음
A02 | 2019-02-26 12:00 | 맑음 | -2 | 11 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 1 | 13 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | 1 | 13 | 보통
A02 | 2019-02-28 00:00 | 맑음 | 2 | 13 | 높음
A02 | 2019-02-28 12:00 | 맑음 | 2 | 13 | 높음
A02 | 2019-03-01 00:00 | 맑음 | 0 | 12 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 0 | 12 | 보통
A02 | 2019-03-02 00:00 | 구름많음 | 1 | 9 | 낮음
A02 | 2019-03-02 12:00 | 흐리고 비/눈 | 1 | 9 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 2 | 11 | 보통
A01 | 2019-03-04 00:00 | 맑음 | -1 | 11 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 1 | 10 | 보통

강원도영동 | 강릉 
A02 | 2019-02-26 00:00 | 맑음 | 2 | 10 | 높음
A02 | 2019-02-26 12:00 | 맑음 | 2 | 10 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 2 | 10 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | 2 | 10 | 보통
A02 | 2019-02-28 00:00 | 맑음 | 3 | 10 | 높음
A02 | 2019-02-28 12:00 | 맑음 | 3 | 10 | 높음
A02 | 2019-03-01 00:00 | 맑음 | 2 | 11 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 2 | 11 | 보통
A02 | 2019-03-02 00:00 | 구름많음 | 2 | 8 | 낮음
A02 | 2019-03-02 12:00 | 흐리고 비/눈 | 2 | 8 | 보통
A01 | 2019-03-03 00:00 | 구름많고 비/눈 | 2 | 8 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 3 | 9 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 3 | 9 | 보통

대전ㆍ세종ㆍ충청남도 | 대전 
A02 | 2019-02-26 00:00 | 맑음 | -2 | 12 | 높음
A02 | 2019-02-26 12:00 | 맑음 | -2 | 12 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 0 | 12 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | 0 | 12 | 보통
A02 | 2019-02-28 00:00 | 구름많음 | 1 | 12 | 보통
A02 | 2019-02-28 12:00 | 맑음 | 1 | 12 | 높음
A02 | 2019-03-01 00:00 | 맑음 | 1 | 12 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 1 | 12 | 보통
A02 | 2019-03-02 00:00 | 구름많음 | 2 | 10 | 낮음
A02 | 2019-03-02 12:00 | 흐리고 비 | 2 | 10 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 3 | 10 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 1 | 10 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 2 | 11 | 보통

대전ㆍ세종ㆍ충청남도 | 세종 
A02 | 2019-02-26 00:00 | 맑음 | -4 | 11 | 높음
A02 | 2019-02-26 12:00 | 맑음 | -4 | 11 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | -2 | 11 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | -2 | 11 | 보통
A02 | 2019-02-28 00:00 | 구름많음 | -1 | 11 | 보통
A02 | 2019-02-28 12:00 | 맑음 | -1 | 11 | 높음
A02 | 2019-03-01 00:00 | 맑음 | -1 | 11 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | -1 | 11 | 보통
A02 | 2019-03-02 00:00 | 구름많음 | 2 | 10 | 낮음
A02 | 2019-03-02 12:00 | 흐리고 비 | 2 | 10 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 2 | 9 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 0 | 9 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 1 | 10 | 보통

대전ㆍ세종ㆍ충청남도 | 홍성 
A02 | 2019-02-26 00:00 | 맑음 | -3 | 11 | 높음
A02 | 2019-02-26 12:00 | 맑음 | -3 | 11 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | -1 | 11 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | -1 | 11 | 보통
A02 | 2019-02-28 00:00 | 구름많음 | 0 | 10 | 보통
A02 | 2019-02-28 12:00 | 맑음 | 0 | 10 | 높음
A02 | 2019-03-01 00:00 | 맑음 | 0 | 10 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 0 | 10 | 보통
A02 | 2019-03-02 00:00 | 구름많음 | 2 | 9 | 낮음
A02 | 2019-03-02 12:00 | 흐리고 비 | 2 | 9 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 2 | 9 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 0 | 9 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 1 | 10 | 보통

충청북도 | 청주 
A02 | 2019-02-26 00:00 | 맑음 | -1 | 12 | 높음
A02 | 2019-02-26 12:00 | 맑음 | -1 | 12 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 0 | 13 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | 0 | 13 | 보통
A02 | 2019-02-28 00:00 | 구름많음 | 2 | 13 | 보통
A02 | 2019-02-28 12:00 | 맑음 | 2 | 13 | 높음
A02 | 2019-03-01 00:00 | 맑음 | 1 | 12 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 1 | 12 | 보통
A02 | 2019-03-02 00:00 | 구름많음 | 3 | 9 | 낮음
A02 | 2019-03-02 12:00 | 흐리고 비 | 3 | 9 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 3 | 10 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 2 | 10 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 3 | 10 | 보통

광주ㆍ전라남도 | 광주 
A02 | 2019-02-26 00:00 | 맑음 | 0 | 15 | 높음
A02 | 2019-02-26 12:00 | 맑음 | 0 | 15 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 2 | 13 | 보통
A02 | 2019-02-27 12:00 | 흐리고 비 | 2 | 13 | 보통
A02 | 2019-02-28 00:00 | 흐리고 비 | 4 | 14 | 보통
A02 | 2019-02-28 12:00 | 구름많음 | 4 | 14 | 보통
A02 | 2019-03-01 00:00 | 맑음 | 2 | 13 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 2 | 13 | 보통
A02 | 2019-03-02 00:00 | 흐리고 비 | 3 | 10 | 보통
A02 | 2019-03-02 12:00 | 흐리고 비 | 3 | 10 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 4 | 11 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 2 | 11 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 3 | 10 | 보통

광주ㆍ전라남도 | 목포 
A02 | 2019-02-26 00:00 | 맑음 | 1 | 10 | 높음
A02 | 2019-02-26 12:00 | 맑음 | 1 | 10 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 2 | 11 | 보통
A02 | 2019-02-27 12:00 | 흐리고 비 | 2 | 11 | 보통
A02 | 2019-02-28 00:00 | 흐리고 비 | 4 | 10 | 보통
A02 | 2019-02-28 12:00 | 구름많음 | 4 | 10 | 보통
A02 | 2019-03-01 00:00 | 맑음 | 3 | 10 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 3 | 10 | 보통
A02 | 2019-03-02 00:00 | 흐리고 비 | 3 | 9 | 보통
A02 | 2019-03-02 12:00 | 흐리고 비 | 3 | 9 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 4 | 9 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 2 | 8 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 3 | 9 | 보통

광주ㆍ전라남도 | 여수 
A02 | 2019-02-26 00:00 | 맑음 | 5 | 13 | 높음
A02 | 2019-02-26 12:00 | 맑음 | 5 | 13 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 5 | 11 | 보통
A02 | 2019-02-27 12:00 | 흐리고 비 | 5 | 11 | 보통
A02 | 2019-02-28 00:00 | 흐리고 비 | 5 | 12 | 보통
A02 | 2019-02-28 12:00 | 구름많음 | 5 | 12 | 보통
A02 | 2019-03-01 00:00 | 맑음 | 4 | 12 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 4 | 12 | 보통
A02 | 2019-03-02 00:00 | 흐리고 비 | 4 | 9 | 보통
A02 | 2019-03-02 12:00 | 흐리고 비 | 4 | 9 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 5 | 9 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 3 | 10 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 4 | 10 | 보통

전라북도 | 전주 
A02 | 2019-02-26 00:00 | 맑음 | -1 | 12 | 높음
A02 | 2019-02-26 12:00 | 맑음 | -1 | 12 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 1 | 13 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | 1 | 13 | 보통
A02 | 2019-02-28 00:00 | 구름많음 | 3 | 13 | 낮음
A02 | 2019-02-28 12:00 | 구름많음 | 3 | 13 | 보통
A02 | 2019-03-01 00:00 | 맑음 | 1 | 12 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 1 | 12 | 보통
A02 | 2019-03-02 00:00 | 흐리고 비 | 2 | 11 | 보통
A02 | 2019-03-02 12:00 | 흐리고 비 | 2 | 11 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 3 | 10 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 2 | 10 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 2 | 10 | 보통

전라북도 | 군산 
A02 | 2019-02-26 00:00 | 맑음 | -1 | 10 | 높음
A02 | 2019-02-26 12:00 | 맑음 | -1 | 10 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 0 | 12 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | 0 | 12 | 보통
A02 | 2019-02-28 00:00 | 구름많음 | 3 | 11 | 낮음
A02 | 2019-02-28 12:00 | 구름많음 | 3 | 11 | 보통
A02 | 2019-03-01 00:00 | 맑음 | 1 | 11 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 1 | 11 | 보통
A02 | 2019-03-02 00:00 | 흐리고 비 | 2 | 10 | 보통
A02 | 2019-03-02 12:00 | 흐리고 비 | 2 | 10 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 3 | 9 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 2 | 9 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 2 | 8 | 보통

부산ㆍ울산ㆍ경상남도 | 부산 
A02 | 2019-02-26 00:00 | 맑음 | 5 | 13 | 높음
A02 | 2019-02-26 12:00 | 맑음 | 5 | 13 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 6 | 13 | 보통
A02 | 2019-02-27 12:00 | 흐리고 비 | 6 | 13 | 보통
A02 | 2019-02-28 00:00 | 흐리고 비 | 6 | 13 | 보통
A02 | 2019-02-28 12:00 | 구름많음 | 6 | 13 | 보통
A02 | 2019-03-01 00:00 | 맑음 | 5 | 13 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 5 | 13 | 보통
A02 | 2019-03-02 00:00 | 흐리고 비 | 6 | 12 | 보통
A02 | 2019-03-02 12:00 | 흐리고 비 | 6 | 12 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 7 | 12 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 6 | 12 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 6 | 12 | 보통

부산ㆍ울산ㆍ경상남도 | 울산 
A02 | 2019-02-26 00:00 | 맑음 | 4 | 12 | 높음
A02 | 2019-02-26 12:00 | 맑음 | 4 | 12 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 4 | 12 | 보통
A02 | 2019-02-27 12:00 | 흐리고 비 | 4 | 12 | 보통
A02 | 2019-02-28 00:00 | 흐리고 비 | 5 | 12 | 보통
A02 | 2019-02-28 12:00 | 구름많음 | 5 | 12 | 보통
A02 | 2019-03-01 00:00 | 맑음 | 3 | 13 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 3 | 13 | 보통
A02 | 2019-03-02 00:00 | 흐리고 비 | 4 | 11 | 보통
A02 | 2019-03-02 12:00 | 흐리고 비 | 4 | 11 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 5 | 11 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 4 | 11 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 4 | 11 | 보통

부산ㆍ울산ㆍ경상남도 | 창원 
A02 | 2019-02-26 00:00 | 맑음 | 3 | 13 | 높음
A02 | 2019-02-26 12:00 | 맑음 | 3 | 13 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 3 | 12 | 보통
A02 | 2019-02-27 12:00 | 흐리고 비 | 3 | 12 | 보통
A02 | 2019-02-28 00:00 | 흐리고 비 | 5 | 12 | 보통
A02 | 2019-02-28 12:00 | 구름많음 | 5 | 12 | 보통
A02 | 2019-03-01 00:00 | 맑음 | 3 | 13 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 3 | 13 | 보통
A02 | 2019-03-02 00:00 | 흐리고 비 | 5 | 11 | 보통
A02 | 2019-03-02 12:00 | 흐리고 비 | 5 | 11 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 5 | 11 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 4 | 12 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 4 | 11 | 보통

대구ㆍ경상북도 | 대구 
A02 | 2019-02-26 00:00 | 맑음 | 1 | 13 | 높음
A02 | 2019-02-26 12:00 | 맑음 | 1 | 13 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 2 | 13 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | 2 | 13 | 보통
A02 | 2019-02-28 00:00 | 구름많음 | 4 | 13 | 낮음
A02 | 2019-02-28 12:00 | 구름많음 | 4 | 13 | 보통
A02 | 2019-03-01 00:00 | 맑음 | 3 | 13 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 3 | 13 | 보통
A02 | 2019-03-02 00:00 | 흐리고 비 | 5 | 10 | 보통
A02 | 2019-03-02 12:00 | 흐리고 비 | 5 | 10 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 5 | 11 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 3 | 11 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 3 | 11 | 보통

대구ㆍ경상북도 | 안동 
A02 | 2019-02-26 00:00 | 맑음 | -1 | 12 | 높음
A02 | 2019-02-26 12:00 | 맑음 | -1 | 12 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | -1 | 12 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | -1 | 12 | 보통
A02 | 2019-02-28 00:00 | 구름많음 | 2 | 12 | 낮음
A02 | 2019-02-28 12:00 | 구름많음 | 2 | 12 | 보통
A02 | 2019-03-01 00:00 | 맑음 | 0 | 12 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 0 | 12 | 보통
A02 | 2019-03-02 00:00 | 흐리고 비 | 3 | 10 | 보통
A02 | 2019-03-02 12:00 | 흐리고 비 | 3 | 10 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 3 | 10 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 1 | 10 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 1 | 10 | 보통

대구ㆍ경상북도 | 포항 
A02 | 2019-02-26 00:00 | 맑음 | 4 | 12 | 높음
A02 | 2019-02-26 12:00 | 맑음 | 4 | 12 | 높음
A02 | 2019-02-27 00:00 | 구름많음 | 4 | 13 | 보통
A02 | 2019-02-27 12:00 | 구름많음 | 4 | 13 | 보통
A02 | 2019-02-28 00:00 | 구름많음 | 5 | 13 | 낮음
A02 | 2019-02-28 12:00 | 구름많음 | 5 | 13 | 보통
A02 | 2019-03-01 00:00 | 맑음 | 4 | 13 | 높음
A02 | 2019-03-01 12:00 | 구름많음 | 4 | 13 | 보통
A02 | 2019-03-02 00:00 | 흐리고 비 | 6 | 10 | 보통
A02 | 2019-03-02 12:00 | 흐리고 비 | 6 | 10 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 6 | 10 | 보통
A01 | 2019-03-04 00:00 | 맑음 | 4 | 10 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 4 | 10 | 보통

제주도 | 제주 
A02 | 2019-02-26 00:00 | 구름많음 | 5 | 12 | 보통
A02 | 2019-02-26 12:00 | 구름많음 | 5 | 12 | 보통
A02 | 2019-02-27 00:00 | 구름많음 | 7 | 13 | 보통
A02 | 2019-02-27 12:00 | 흐리고 비 | 7 | 13 | 보통
A02 | 2019-02-28 00:00 | 흐리고 비 | 8 | 11 | 보통
A02 | 2019-02-28 12:00 | 구름많음 | 8 | 11 | 보통
A02 | 2019-03-01 00:00 | 구름많음 | 7 | 12 | 보통
A02 | 2019-03-01 12:00 | 구름많음 | 7 | 12 | 보통
A02 | 2019-03-02 00:00 | 흐리고 비 | 7 | 12 | 보통
A02 | 2019-03-02 12:00 | 흐리고 비 | 7 | 12 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 9 | 12 | 보통
A01 | 2019-03-04 00:00 | 구름많음 | 8 | 11 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 7 | 10 | 보통

제주도 | 서귀포 
A02 | 2019-02-26 00:00 | 구름많음 | 7 | 15 | 보통
A02 | 2019-02-26 12:00 | 구름많음 | 7 | 15 | 보통
A02 | 2019-02-27 00:00 | 구름많음 | 8 | 14 | 보통
A02 | 2019-02-27 12:00 | 흐리고 비 | 8 | 14 | 보통
A02 | 2019-02-28 00:00 | 흐리고 비 | 9 | 14 | 보통
A02 | 2019-02-28 12:00 | 구름많음 | 9 | 14 | 보통
A02 | 2019-03-01 00:00 | 구름많음 | 8 | 14 | 보통
A02 | 2019-03-01 12:00 | 구름많음 | 8 | 14 | 보통
A02 | 2019-03-02 00:00 | 흐리고 비 | 9 | 13 | 보통
A02 | 2019-03-02 12:00 | 흐리고 비 | 9 | 13 | 보통
A01 | 2019-03-03 00:00 | 구름많음 | 10 | 14 | 보통
A01 | 2019-03-04 00:00 | 구름많음 | 8 | 12 | 보통
A01 | 2019-03-05 00:00 | 맑음 | 7 | 11 | 보통

